First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
Douglas,Male,8/6/1993,12:42 PM,97308,6.945,True,Marketing
Thomas,Male,3/31/1996,6:53 AM,61933,4.17,True,Product
Maria,Female,4/23/1993,11:17 AM,130590,11.858,False,Finance
Jerry,Male,3/4/2005,1:00 PM,138705,9.34,True,Finance
Larry,Male,1/24/1998,4:47 PM,101004,1.389,True,Client Services
Dennis,Male,4/18/1987,1:35 AM,115163,10.125,False,Legal
Ruby,Female,8/17/1987,4:20 PM,65476,10.012,True,Product
William,Female,7/20/2015,10:43 AM,45906,11.598,True,Finance
Angela,Female,11/22/2005,6:29 AM,95570,18.523,True,Engineering
Frances,Female,8/8/2002,6:51 AM,139852,7.524,True,Business Development
Louise,Female,8/12/1980,9:01 AM,63241,15.132,True,Product
Julie,Female,10/26/1997,3:19 PM,102508,12.637,True,Legal
Brandon,Male,12/1/1980,1:08 AM,112807,17.492,True,Human Resources
Gary,Male,1/27/2008,11:40 PM,109831,5.831,False,Sales
Kimberly,Female,1/14/1999,7:13 AM,41426,14.543,True,Finance
Lillian,Female,6/5/2016,6:09 AM,59414,1.256,False,Product
Jeremy,Male,9/21/2010,5:56 AM,90370,7.369,False,Human Resources
Shawn,Male,12/7/1986,7:45 PM,111737,6.414,False,Product
Diana,Female,10/23/1981,10:27 AM,132940,19.082,False,Client Services
Donna,Female,7/22/2010,3:48 AM,81014,1.894,False,Product
Lois,Female,4/22/1995,7:18 PM,64714,4.934,True,Legal
Matthew,Male,9/5/1995,2:12 AM,100612,13.645,False,Marketing
Joshua,Female,3/8/2012,1:58 AM,90816,18.816,True,Client Services
William,Male,6/14/2012,4:19 PM,125792,5.042,True,Product
John,Male,7/1/1992,10:08 PM,97950,13.873,False,Client Services
William,Male,10/8/2012,1:12 AM,37076,18.576,True,Client Services
Craig,Male,2/27/2000,7:45 AM,37598,7.757,True,Marketing
Scott,Female,7/11/1991,6:58 PM,122367,5.218,False,Legal
Terry,Male,11/27/1981,6:30 PM,124008,13.464,True,Client Services
Benjamin,Male,1/26/2005,10:06 PM,79529,7.008,True,Legal
Christina,Female,8/6/2002,1:19 PM,118780,9.096,True,Engineering
