Atom,Code,Name,PositionInTS
#include,44,#include <iostream>,-
int,5,int,-
main,8,main,-
(,2,(,-
),3,),-
{,10,{,-
struct,8,struct,-
ID,0,circle,0
{,10,{,-
float,6,float,-
ID,0,r,1
;,27,;,-
},11,},-
ID,0,c,2
;,27,;,-
struct,8,struct,-
ID,0,circle,0
ID,0,b,3
;,27,;,-
float,6,float,-
ID,0,pi,4
;,27,;,-
ID,0,pi23,5
=,12,=,-
CONST,1,3.14,6
-,14,-,-
CONST,1,23,7
;,27,;,-
cin,33,cin,-
>>,39,>>,-
ID,0,c,2
ID,0,r,1
;,27,;,-
cout,34,cout,-
<<,38,<<,-
CONST,1,2,8
*,15,*,-
ID,0,pi,4
*,15,*,-
ID,0,c,2
ID,0,r,1
;,27,;,-
cout,34,cout,-
<<,38,<<,-
ID,0,pi,4
*,15,*,-
ID,0,c,2
ID,0,r,1
*,15,*,-
ID,0,c,2
ID,0,r,1
;,27,;,-
},11,},-
